id,artificial_id
Atlantic/Canary,time_zone_182
Europe/Minsk,time_zone_160
Europe/Lisbon,time_zone_120
Asia/Kolkata,time_zone_115
Europe/Tallinn,time_zone_111
Indian/Mahe,time_zone_145
Europe/Skopje,time_zone_181
Europe/Copenhagen,time_zone_142
Europe/Amsterdam,time_zone_110
Africa/Nairobi,time_zone_180
America/Detroit,time_zone_108
America/Phoenix,time_zone_138
Europe/Moscow,time_zone_163
Europe/Madrid,time_zone_132
America/Santiago,time_zone_193
Asia/Dubai,time_zone_170
Europe/Paris,time_zone_122
Europe/Stockholm,time_zone_103
Europe/Athens,time_zone_131
America/Mexico_City,time_zone_119
Indian/Mauritius,time_zone_154
Asia/Manila,time_zone_140
Europe/Berlin,time_zone_102
Europe/Zurich,time_zone_113
America/Guatemala,time_zone_134
Asia/Karachi,time_zone_159
Europe/Rome,time_zone_109
America/Lima,time_zone_185
Asia/Makassar,time_zone_144
Europe/Chisinau,time_zone_133
Europe/Warsaw,time_zone_100
Asia/Yekaterinburg,time_zone_175
Europe/Luxembourg,time_zone_148
Pacific/Honolulu,time_zone_200
Europe/Helsinki,time_zone_152
Pacific/Auckland,time_zone_191
Atlantic/Cape_Verde,time_zone_187
Asia/Hong_Kong,time_zone_174
Asia/Macau,time_zone_125
Europe/Belgrade,time_zone_136
Europe/Prague,time_zone_105
Europe/Kiev,time_zone_128
Africa/Monrovia,time_zone_183
Europe/Budapest,time_zone_129
America/Los_Angeles,time_zone_104
America/Asuncion,time_zone_151
America/Vancouver,time_zone_171
Asia/Ho_Chi_Minh,time_zone_139
Asia/Nicosia,time_zone_195
Asia/Tehran,time_zone_169
America/Sao_Paulo,time_zone_127
America/Edmonton,time_zone_190
Asia/Tokyo,time_zone_179
Asia/Jakarta,time_zone_146
Australia/Sydney,time_zone_166
Africa/Johannesburg,time_zone_135
Europe/Riga,time_zone_196
Asia/Taipei,time_zone_198
Asia/Aden,time_zone_184
Europe/Istanbul,time_zone_176
Europe/Bucharest,time_zone_116
Europe/Malta,time_zone_156
Asia/Bangkok,time_zone_162
Europe/Monaco,time_zone_194
America/Winnipeg,time_zone_165
Australia/Brisbane,time_zone_167
America/Chicago,time_zone_123
Europe/Vilnius,time_zone_164
Africa/Dakar,time_zone_126
Africa/Cairo,time_zone_168
Asia/Vientiane,time_zone_118
Europe/Brussels,time_zone_147
Asia/Jerusalem,time_zone_155
Asia/Singapore,time_zone_199
Europe/Oslo,time_zone_161
Asia/Shanghai,time_zone_130
America/Caracas,time_zone_106
Africa/Algiers,time_zone_189
America/Panama,time_zone_112
Africa/Ndjamena,time_zone_101
Pacific/Palau,time_zone_192
Asia/Kuala_Lumpur,time_zone_188
Africa/Tunis,time_zone_186
America/Denver,time_zone_121
Asia/Riyadh,time_zone_158
Europe/Ljubljana,time_zone_150
Africa/Gaborone,time_zone_149
Europe/London,time_zone_124
Asia/Dushanbe,time_zone_177
America/Indiana/Indianapolis,time_zone_114
America/Santo_Domingo,time_zone_172
Europe/Zagreb,time_zone_153
Europe/Bratislava,time_zone_141
Europe/Vienna,time_zone_137
America/New_York,time_zone_107
Europe/Dublin,time_zone_117
Africa/Lagos,time_zone_143
Europe/Sofia,time_zone_173
America/Kentucky/Louisville,time_zone_197
America/Toronto,time_zone_157
Asia/Seoul,time_zone_178
